Fruit,Temp,Humid (%),Light (Fux),CO2 (pmm),Class
Pineapple,25,95,9.8718154,300,Bad
Tomato,24,76,17.30998858,469,Good
Orange,23,95,8.415248038,168,Good
Pineapple,22,95,12.83585424,333,Good
Tomato,24,94,10.95309884,383,Good
Pineapple,25,95,9.987371503,308,Bad
Pineapple,23,95,12.27113269,314,Good
Pineapple,22,95,12.76402932,336,Good
Pineapple,25,95,10.04556771,302,Bad
Tomato,23,92,11.20647613,352,Good
Tomato,25,92,6.529850053,407,Good
Orange,23,95,9.8718154,392,Good
Pineapple,22,89,12.62144823,327,Good
Banana,26,95,20.62641439,385,Good
Pineapple,25,95,9.987371503,319,Bad
Orange,23,95,14.83589827,218,Bad
Pineapple,24,95,14.03538213,326,Good
Tomato,23,89,8.165410187,302,Good
Orange,24,95,14.83589827,364,Bad
Tomato,26,92,6.48823229,411,Good
Orange,24,95,16.93400512,202,Bad
Orange,23,95,19.85095108,350,Bad
Orange,23,95,4.836285621,348,Good
Orange,22,95,7.969740423,172,Good
Banana,24,95,12.27113269,251,BAD
Orange,24,95,18.89654455,225,Bad
Banana,24,95,12.34050263,252,BAD
Banana,25,95,17.88911347,368,Good
Orange,24,95,14.75399666,404,Bad
Pineapple,25,95,10.82824911,300,Bad
Tomato,23,92,10.28117628,359,Good
Orange,22,95,6.613669965,257,Good
Pineapple,23,93,12.83585424,347,Good
Orange,22,95,4.570643409,347,Good
Tomato,25,95,12.98058343,370,Bad
Pineapple,25,95,9.814452454,325,Bad
Tomato,25,95,15.85228317,313,Bad
Pineapple,25,95,11.46485093,341,Bad
Pineapple,25,95,9.987371503,296,Bad
Tomato,23,91,8.465927903,375,Good
Tomato,25,95,7.683058499,199,Good
Banana,25,86,14.19224347,341,Good
Tomato,23,92,10.70460698,355,Good
Pineapple,25,95,11.72833871,349,Bad
Pineapple,22,95,12.62144823,320,Good
Pineapple,24,95,14.1136139,312,Good
Orange,23,95,16.02789778,258,Bad
Tomato,25,95,12.90803823,375,Bad
Pineapple,24,95,14.1136139,313,Good
Tomato,24,95,14.75399666,368,Bad
Tomato,23,92,13.95754575,331,Good
Banana,25,89,19.63480231,395,Good
Orange,23,95,19.85095108,363,Bad
Orange,23,95,4.870193845,346,Good
Banana,26,95,15.59225501,307,Good
Tomato,22,92,11.01598084,356,Good
Orange,24,95,16.93400512,393,Bad
Banana,24,95,18.08630257,255,BAD
Tomato,24,95,11.79502342,363,Good
Pineapple,22,82,12.55068787,333,Good
Banana,24,95,12.55068787,250,BAD
Orange,22,95,6.242557594,255,Good
Orange,23,91,16.02789778,251,Bad
Orange,23,95,14.59144457,212,Bad
Pineapple,25,95,12.20210529,410,Bad
Orange,22,95,5.886678992,258,Good
Tomato,23,91,8.31460431,371,Good
Orange,23,95,14.91822038,364,Bad
Orange,24,95,14.67251295,373,Bad
Tomato,23,89,12.55068787,316,Good
Pineapple,23,95,13.57421101,366,Good
Tomato,25,95,13.88010234,364,Bad
Pineapple,25,95,11.862037,347,Bad
Orange,22,95,11.92938136,207,Good
Tomato,25,95,12.69256136,303,Bad
Pineapple,23,80,12.55068787,333,Good
Banana,26,90,20.17964285,302,Good
Pineapple,25,95,10.10404473,298,Bad
Orange,22,95,4.938486566,349,Good
Orange,23,95,16.38466179,259,Bad
Banana,24,88,15.00096563,324,Good
Banana,24,95,13.12676612,258,BAD
Pineapple,25,95,10.10404473,351,Bad
Orange,23,95,14.91822038,216,Bad
Orange,23,95,8.827487661,193,Good
Orange,24,95,15.00096563,364,Bad
Orange,23,95,15.00096563,401,Bad
Banana,24,95,12.06507013,76,BAD
Banana,24,95,12.76402932,255,BAD
Tomato,24,95,13.72638492,385,Bad
Tomato,24,89,11.14266773,401,Good
Tomato,25,95,12.76402932,306,Bad
Tomato,24,95,13.05349201,302,Bad
Pineapple,25,95,9.814452454,322,Bad
Orange,23,95,5.007419045,348,Good
Banana,26,91,19.95991509,298,Good
Orange,22,95,7.496378442,298,Good
Orange,24,95,16.74896501,397,Bad
Orange,22,95,6.740875089,261,Good
Tomato,23,94,11.14266773,393,Good
Orange,24,95,14.91822038,373,Bad
Tomato,23,95,14.35070581,314,Bad
Tomato,22,90,12.98058343,328,Good
Orange,23,95,15.42113219,400,Bad
Orange,24,95,14.83589827,361,Bad
Tomato,25,95,13.80304952,378,Bad
Orange,23,95,16.65717174,246,Bad
Orange,24,95,15.00096563,361,Bad
Pineapple,23,95,13.05349201,334,Good
Orange,24,95,14.83589827,422,Bad
Pineapple,22,95,12.62144823,326,Good
Pineapple,22,95,12.76402932,340,Good
Orange,22,95,6.446808067,247,Good
Pineapple,25,95,11.07916988,293,Bad
Banana,26,94,15.42113219,306,Good
Pineapple,25,95,11.92938136,412,Bad
Orange,23,95,4.702223982,359,Good
Orange,23,81,4.603308323,336,Good
Pineapple,24,95,13.65010619,404,Bad
Orange,23,95,19.85095108,337,Bad
Banana,25,87,14.1136139,336,Good
Banana,25,86,13.27441976,345,Good
Orange,23,95,14.67251295,215,Bad
Orange,22,95,6.122270991,252,Good
Orange,23,95,8.415248038,175,Good
Tomato,25,95,15.76515749,313,Bad
Tomato,23,89,12.62144823,339,Good
Orange,23,95,9.039550676,200,Good
Orange,22,95,6.283027997,256,Good
Orange,24,95,16.84124175,402,Bad
Banana,24,89,15.59225501,321,Good
Tomato,25,95,14.51078894,388,Bad
Pineapple,25,95,9.814452454,327,Bad
Orange,22,95,7.267899623,357,Good
Tomato,25,95,7.636059339,200,Good
Pineapple,24,95,14.03538213,299,Good
Tomato,22,93,14.03538213,329,Good
Banana,24,95,17.12100442,245,BAD
Orange,23,95,8.465927903,175,Good
Orange,22,95,6.698275399,252,Good
Pineapple,22,94,12.69256136,340,Good
Tomato,25,95,15.85228317,314,Bad
Orange,23,95,14.67251295,359,Bad
Orange,22,95,8.465927903,178,Good
Tomato,24,90,8.214906999,285,Good
Orange,23,95,19.63480231,280,Bad
Pineapple,25,95,10.10404473,359,Bad
Orange,23,95,15.00096563,369,Bad
Orange,24,95,17.59724365,224,Bad
Orange,23,95,16.38466179,259,Bad
Banana,24,95,19.20950925,288,BAD
Banana,26,94,15.50647254,304,Good
Orange,22,95,5.886678992,261,Good
Banana,24,95,12.76402932,253,BAD
Pineapple,25,95,10.04556771,287,Bad
Orange,22,95,8.264637967,367,Good
Orange,23,95,14.83589827,216,Bad
Tomato,25,95,15.93986231,309,Bad
Orange,23,95,14.51078894,388,Bad
Pineapple,23,95,13.3488037,363,Good
Pineapple,24,95,13.95754575,311,Good
Pineapple,23,84,12.41021712,349,Good
Orange,24,95,14.91822038,375,Bad
Tomato,23,89,12.69256136,335,Good
Orange,23,95,8.415248038,179,Good
Pineapple,22,95,12.62144823,339,Good
Banana,24,89,15.59225501,320,Good
Tomato,24,95,16.47502321,356,Bad
Tomato,22,92,13.95754575,326,Good
Tomato,24,95,12.98058343,303,Bad
Banana,26,94,14.35070581,299,Good
Tomato,24,76,17.40523312,467,Good
Orange,22,95,4.802535216,341,Good
Pineapple,24,95,14.1136139,325,Good
Tomato,23,89,7.636059339,303,Good
Banana,25,89,19.52760946,377,Good
Orange,24,95,15.00096563,385,Bad
Orange,22,95,5.582615631,312,Good
Orange,23,95,14.59144457,373,Bad
Orange,24,95,15.00096563,373,Bad
Tomato,22,92,10.34079221,364,Good
Pineapple,22,95,13.20040797,314,Good
Banana,26,95,17.30998858,313,Good
Orange,22,95,8.568009903,383,Good
Pineapple,25,95,10.04556771,295,Bad
Orange,23,95,15.33623116,254,Bad
Banana,24,95,12.62144823,255,BAD
Tomato,23,90,12.76402932,320,Good
Tomato,23,90,13.05349201,312,Good
Orange,23,95,5.398243871,304,Good
Pineapple,23,83,12.62144823,332,Good
Pineapple,25,95,9.8718154,316,Bad
Banana,24,86,13.57421101,347,Good
Tomato,25,95,15.85228317,312,Bad
Orange,22,95,8.568009903,185,Good
Orange,23,95,9.310371154,180,Good
Tomato,23,91,8.31460431,369,Good
Orange,23,95,4.570643409,344,Good
Banana,26,94,15.33623116,308,Good
Tomato,26,88,7.450253315,407,Good
Tomato,24,95,13.95754575,380,Bad
Orange,24,95,16.93400512,390,Bad
Tomato,23,90,12.34050263,331,Good
Tomato,23,89,9.310371154,365,Good
Tomato,22,94,13.65010619,346,Good
Banana,24,95,17.21524677,256,BAD
Pineapple,23,95,13.27441976,350,Good
Pineapple,22,95,12.55068787,337,Good
Banana,26,94,15.33623116,304,Good
Orange,22,95,5.545397326,309,Good
Pineapple,23,95,12.48027818,320,Good
Pineapple,24,95,14.19224347,308,Good
Pineapple,25,95,9.757364232,330,Bad
Orange,23,95,14.75399666,209,Bad
Pineapple,24,95,13.95754575,334,Good
Banana,24,95,17.21524677,255,BAD
Tomato,25,93,6.740875089,394,Good
Orange,23,95,6.529850053,253,Good
Orange,23,95,15.00096563,219,Bad
Pineapple,22,95,12.83585424,332,Good
Orange,22,95,8.264637967,177,Good
Orange,23,95,17.59724365,302,Bad
Orange,23,95,14.91822038,253,Bad
Pineapple,25,95,9.8718154,326,Bad
Pineapple,22,95,12.76402932,323,Good
Orange,24,95,19.10462223,229,Bad
Tomato,25,95,12.83585424,382,Bad
Tomato,23,91,10.58215896,350,Good
Pineapple,23,95,12.48027818,324,Good
Pineapple,22,95,12.83585424,342,Good
Tomato,25,95,12.76402932,367,Bad
Tomato,24,95,12.13341843,290,Bad
Pineapple,24,95,14.1136139,306,Good
Orange,23,95,14.83589827,218,Bad
Orange,23,95,8.986156218,196,Good
Banana,25,89,19.63480231,394,Good
Orange,22,95,7.450253315,359,Good
Pineapple,25,95,10.04556771,356,Bad
Orange,22,95,5.471478228,302,Good
Tomato,25,95,13.20040797,381,Bad
Pineapple,23,85,12.62144823,332,Good
Tomato,24,95,13.20040797,296,Bad
Tomato,25,95,15.76515749,317,Bad
Pineapple,25,95,13.42356205,399,Bad
Pineapple,22,95,12.69256136,329,Good
Orange,23,95,4.505770041,332,Good
Pineapple,25,95,10.16280412,288,Bad
Orange,22,95,8.31460431,177,Good
Banana,26,91,20.06947764,302,Good
Banana,24,95,12.41021712,253,BAD
Banana,24,95,12.34050263,252,BAD
Orange,22,95,8.0671142,371,Good
Orange,22,95,7.450253315,298,Good
Pineapple,24,95,14.03538213,293,Good
Pineapple,25,95,9.929454577,300,Bad
Banana,24,95,19.10462223,286,BAD
Orange,23,95,4.836285621,352,Good
Banana,24,91,16.74896501,314,Good
Banana,24,89,15.59225501,322,Good
Banana,24,91,12.27113269,247,BAD
Tomato,23,91,8.31460431,373,Good
Tomato,23,88,7.358649263,291,Good
Tomato,24,89,8.165410187,290,Good
Banana,24,95,12.27113269,257,BAD
Orange,24,95,14.67251295,372,Bad
Banana,26,95,15.59225501,310,Good
Pineapple,24,95,14.1136139,302,Good
Orange,23,95,8.568009903,185,Good
Banana,24,95,14.75399666,264,BAD
Tomato,25,95,12.98058343,366,Bad
Tomato,24,95,16.38466179,340,Bad
Tomato,24,95,16.47502321,362,Bad
Tomato,23,92,9.987371503,352,Good
Pineapple,24,95,11.862037,419,Bad
Tomato,23,89,8.364807255,306,Good
Banana,25,86,13.57421101,342,Good
Pineapple,22,95,12.90803823,332,Good
Orange,23,95,5.253804423,350,Good
Pineapple,22,95,12.83585424,332,Good
Tomato,23,89,7.683058499,296,Good
Banana,24,86,13.57421101,345,Good
Orange,22,95,5.620007507,314,Good
Tomato,26,91,6.698275399,399,Good
Pineapple,24,95,11.20647613,409,Bad
Banana,24,95,19.20950925,304,BAD
Orange,22,95,7.358649263,354,Good
Tomato,25,95,12.69256136,301,Bad
Tomato,23,92,9.700549236,354,Good
Banana,24,95,16.38466179,247,BAD
Tomato,23,91,8.264637967,371,Good
Tomato,24,95,16.02789778,345,Bad
Orange,23,95,9.201267821,178,Good
Tomato,23,87,6.364536513,286,Good
Banana,25,88,14.75399666,327,Good
Banana,26,95,16.65717174,297,Good
Pineapple,24,95,14.1136139,336,Good
Orange,23,95,4.904260592,345,Good
Banana,24,95,16.47502321,252,BAD
Tomato,24,95,12.69256136,301,Bad
Pineapple,25,95,11.59594835,341,Bad
Banana,25,86,13.49869706,353,Good
Tomato,25,95,7.683058499,199,Good
Orange,23,95,15.85228317,442,Bad
Orange,22,95,6.48823229,292,Good
Orange,24,95,20.17964285,270,Bad
Tomato,22,92,13.57421101,326,Good
Orange,22,95,4.836285621,348,Good
Tomato,25,95,13.88010234,366,Bad
Pineapple,25,95,10.04556771,299,Bad
Tomato,23,89,8.516848104,312,Good
Tomato,23,90,12.62144823,309,Good
Orange,22,95,7.450253315,296,Good
Orange,22,95,6.529850053,259,Good
Pineapple,25,95,11.66198098,432,Bad
Pineapple,23,95,12.20210529,326,Good
Pineapple,25,95,12.06507013,409,Bad
Orange,22,95,7.000692513,289,Good
Orange,22,95,6.529850053,290,Good
Tomato,23,89,12.69256136,322,Good
Banana,26,94,14.91822038,308,Good
Orange,24,95,15.00096563,357,Bad
Tomato,25,95,15.76515749,312,Bad
Pineapple,25,95,10.22184745,289,Bad
Banana,24,95,12.13341843,246,BAD
Tomato,26,86,8.165410187,406,Good
Orange,23,95,16.93400512,246,Bad
Orange,23,95,14.75399666,403,Bad
Pineapple,25,95,11.01598084,307,Bad
Pineapple,24,95,13.05349201,421,Bad
Pineapple,25,95,11.79502342,351,Bad
Pineapple,22,92,12.55068787,329,Good
Tomato,22,92,10.76627794,359,Good
Pineapple,25,95,11.14266773,286,Bad
Orange,22,95,9.093199852,179,Good
Tomato,22,93,11.39978246,356,Good
Pineapple,25,95,11.01598084,322,Bad
Tomato,25,95,7.636059339,201,Good
Pineapple,24,95,14.19224347,341,Good
Pineapple,23,93,12.69256136,346,Good
Orange,23,95,4.972872478,333,Good
Orange,23,95,19.95991509,352,Bad
Pineapple,23,95,12.76402932,336,Good
Orange,22,95,5.50835179,313,Good
Tomato,23,93,12.55068787,351,Good
Pineapple,24,95,14.1136139,311,Good
Tomato,24,95,12.98058343,302,Bad
Orange,22,95,7.404343951,346,Good
Orange,23,95,14.83589827,401,Bad
Tomato,23,91,8.31460431,361,Good
Orange,23,95,4.836285621,360,Good
Tomato,24,95,16.47502321,371,Bad
Orange,23,95,14.75399666,371,Bad
Pineapple,23,87,12.76402932,346,Good
Pineapple,25,95,10.64323454,455,Bad
Tomato,24,90,12.83585424,330,Good
Orange,22,95,4.377830797,347,Good
Pineapple,23,95,12.98058343,350,Good
Tomato,23,88,10.46089174,365,Good
Tomato,24,95,16.47502321,361,Bad
Pineapple,25,95,9.929454577,303,Bad
Orange,23,95,15.08413665,368,Bad
Tomato,23,90,12.55068787,316,Good
Orange,22,95,7.450253315,285,Good
Tomato,23,92,10.95309884,358,Good
Orange,23,95,19.74258151,363,Bad
Orange,22,95,6.913276429,357,Good
Orange,23,95,8.214906999,173,Good
Tomato,24,95,11.99705843,359,Good
Banana,26,94,14.27127328,303,Good
Orange,24,95,14.91822038,371,Bad
Tomato,26,94,6.613669965,394,Good
Pineapple,22,85,12.48027818,334,Good
Banana,26,95,17.30998858,316,Good
Orange,23,95,15.25176672,365,Bad
Pineapple,22,95,12.83585424,322,Good
Pineapple,23,95,13.49869706,346,Good
Orange,22,95,8.775098629,178,Good
Tomato,24,89,13.57421101,385,Good
Pineapple,23,95,13.27441976,359,Good
Pineapple,25,95,10.76627794,288,Bad
Banana,25,88,19.42099897,379,Good
Orange,23,95,19.74258151,356,Bad
Orange,24,95,16.84124175,402,Bad
Pineapple,25,95,10.04556771,294,Bad
Orange,24,95,14.75399666,395,Bad
Banana,25,86,13.57421101,348,Good
Orange,24,95,15.08413665,383,Bad
Tomato,25,95,15.67848238,316,Bad
Orange,22,95,7.358649263,359,Good
Pineapple,25,95,10.95309884,303,Bad
Banana,24,86,13.49869706,338,Good
Orange,22,95,6.698275399,245,Good
Orange,23,95,14.67251295,386,Bad
Orange,22,95,7.358649263,350,Good
Tomato,25,95,15.76515749,316,Bad
Orange,23,95,14.83589827,433,Bad
Orange,23,95,16.11639251,256,Bad
Orange,23,95,15.67848238,257,Bad
Orange,24,85,4.47356027,329,Good
Orange,24,95,15.08413665,372,Bad
Banana,24,95,18.7933463,261,BAD
Tomato,25,95,12.90803823,366,Bad
Pineapple,25,95,11.07916988,297,Bad
Orange,24,95,14.91822038,400,Bad
Banana,24,95,16.65717174,255,BAD
Banana,25,86,12.55068787,339,Good
Pineapple,23,95,13.12676612,360,Good
Banana,24,95,12.34050263,254,BAD
Pineapple,25,95,10.10404473,298,Bad
Banana,26,90,19.10462223,375,Good
Orange,22,95,8.465927903,175,Good
Orange,24,95,15.00096563,385,Bad
Orange,22,95,6.48823229,250,Good
Orange,22,95,7.542720421,351,Good
Orange,22,95,4.904260592,344,Good
Pineapple,23,85,12.69256136,348,Good
Pineapple,25,95,10.95309884,326,Bad
Banana,24,95,16.84124175,250,BAD
Banana,25,86,12.69256136,338,Good
Orange,22,95,8.827487661,388,Good
Banana,24,95,16.65717174,248,BAD
Pineapple,24,95,11.53023895,428,Bad
Tomato,24,93,10.89052217,386,Good
Pineapple,25,95,10.95309884,294,Bad
Orange,22,95,4.904260592,329,Good
Pineapple,23,93,12.76402932,347,Good
Banana,24,95,14.83589827,265,BAD
Banana,26,90,19.85095108,300,Good
Pineapple,24,95,14.1136139,324,Good
Orange,24,95,15.16773612,452,Bad
Orange,22,95,8.415248038,174,Good
Tomato,27,74,8.415248038,400,Good
Tomato,23,92,9.587732994,366,Good
Orange,23,95,9.201267821,387,Good
Banana,24,95,12.83585424,256,BAD
Orange,23,95,14.83589827,425,Bad
Banana,26,94,15.50647254,305,Good
Tomato,24,90,12.41021712,333,Good
Pineapple,23,95,12.83585424,353,Good
Tomato,24,95,12.13341843,291,Bad
Orange,23,95,14.91822038,377,Bad
Orange,23,95,8.364807255,164,Good
Orange,23,95,16.02789778,249,Bad
Banana,24,95,12.83585424,249,BAD
Tomato,26,92,6.529850053,393,Good
Tomato,23,89,8.264637967,315,Good
Orange,23,95,16.20534945,258,Bad
Orange,23,95,8.671063387,392,Good
Pineapple,23,95,12.41021712,333,Good
Banana,25,86,13.88010234,349,Good
Tomato,26,91,6.913276429,403,Good
Orange,23,95,6.529850053,255,Good
Orange,23,95,16.29477154,244,Bad
Orange,22,95,6.48823229,249,Good
Pineapple,22,95,12.83585424,330,Good
Pineapple,25,95,10.04556771,299,Bad
Orange,23,95,15.42113219,251,Bad
Pineapple,23,94,12.62144823,351,Good
Tomato,23,89,6.783674055,284,Good
Orange,22,95,8.671063387,377,Good
Tomato,26,91,6.783674055,405,Good
Orange,22,95,6.698275399,326,Good
Pineapple,25,95,11.33503171,319,Bad
Orange,22,95,7.542720421,298,Good
Tomato,23,91,8.364807255,362,Good
Tomato,23,90,12.76402932,330,Good
Banana,24,95,13.3488037,254,BAD
Pineapple,24,95,10.22184745,437,Bad
Tomato,24,89,13.72638492,413,Good
Pineapple,24,95,14.1136139,299,Good
Pineapple,25,95,10.64323454,292,Bad
Orange,22,94,5.733232642,356,Good
Tomato,23,89,12.76402932,354,Good
Tomato,23,89,7.313168177,289,Good
Tomato,26,94,6.571662296,390,Good
Pineapple,25,95,12.98058343,413,Bad
Tomato,24,95,16.20534945,346,Bad
Orange,22,95,7.969740423,366,Good
Banana,24,95,17.69401633,254,BAD
Tomato,22,91,10.70460698,357,Good
Tomato,24,95,12.27113269,369,Good
Orange,23,95,15.76515749,256,Bad
Pineapple,25,95,11.14266773,292,Bad
Pineapple,25,95,11.59594835,342,Bad
Orange,22,95,8.364807255,169,Good
Tomato,24,89,8.165410187,291,Good
Banana,26,95,15.42113219,308,Good
Orange,22,95,6.48823229,247,Good
Orange,22,95,7.404343951,361,Good
Orange,23,95,16.93400512,256,Bad
Tomato,25,95,12.90803823,375,Bad
Tomato,23,88,7.921396405,290,Good
Tomato,23,92,10.28117628,358,Good
Banana,26,90,19.10462223,382,Good
Orange,22,95,8.933015125,187,Good
Pineapple,23,95,12.55068787,322,Good
Tomato,24,95,16.02789778,344,Bad
Pineapple,23,95,12.20210529,322,Good
Orange,24,95,16.20534945,408,Bad
Orange,22,95,7.404343951,359,Good
Orange,24,95,15.08413665,393,Bad
Orange,22,95,8.264637967,174,Good
Tomato,25,95,13.3488037,363,Bad
Pineapple,25,95,10.04556771,291,Bad
Tomato,24,95,15.50647254,375,Bad
Orange,23,95,14.67251295,213,Bad
Orange,22,95,7.496378442,301,Good
Pineapple,25,95,10.95309884,315,Bad
Pineapple,25,95,11.39978246,444,Bad
Banana,26,95,15.50647254,309,Good
Orange,23,95,14.67251295,375,Bad
Tomato,24,94,11.14266773,378,Good
Tomato,24,76,16.65717174,459,Good
Tomato,24,95,16.56585884,357,Bad
Tomato,23,90,12.69256136,328,Good
Tomato,24,95,14.75399666,315,Bad
Banana,25,85,13.80304952,345,Good
Banana,25,95,16.11639251,274,BAD
Tomato,25,95,15.85228317,309,Bad
Orange,22,95,4.938486566,345,Good
Tomato,22,92,10.28117628,360,Good
Pineapple,25,95,10.10404473,294,Bad
Pineapple,25,95,11.27059687,293,Bad
Banana,24,95,17.98744479,256,BAD
Tomato,25,95,15.25176672,378,Bad
Orange,23,95,16.29477154,259,Bad
Banana,24,95,16.74896501,249,BAD
Pineapple,25,95,10.04556771,445,Bad
Orange,23,95,15.25176672,221,Bad
Orange,23,95,16.29477154,264,Bad
Orange,23,95,20.06947764,356,Bad
Orange,22,95,7.044707922,344,Good
Tomato,24,88,10.76627794,246,Good
Tomato,24,95,16.56585884,360,Bad
Banana,26,90,19.31496687,393,Good
Orange,22,95,4.836285621,345,Good
Orange,23,95,19.74258151,341,Bad
Pineapple,25,95,10.10404473,291,Bad
Banana,24,95,17.59724365,258,BAD
Orange,22,85,8.722957641,377,Good
Pineapple,23,82,12.62144823,335,Good
Orange,23,95,8.264637967,176,Good
Pineapple,25,95,9.987371503,299,Bad
Orange,22,95,6.405576451,250,Good
Orange,23,95,15.00096563,216,Bad
Pineapple,23,82,12.69256136,332,Good
Pineapple,23,95,12.55068787,317,Good
Orange,23,95,16.65717174,257,Bad
Pineapple,25,95,12.90803823,406,Bad
Pineapple,22,95,13.57421101,332,Good
Pineapple,23,95,12.41021712,335,Good
Orange,22,95,5.007419045,349,Good
Banana,25,86,13.80304952,348,Good
Orange,23,95,16.20534945,264,Bad
Orange,22,95,4.836285621,341,Good
Orange,23,95,16.47502321,256,Bad
Tomato,24,95,15.59225501,378,Bad
Pineapple,24,95,14.35070581,328,Good
Tomato,25,95,15.67848238,315,Bad
Pineapple,25,95,9.987371503,295,Bad
Orange,24,95,19.31496687,272,Bad
Pineapple,25,95,9.814452454,322,Bad
Orange,22,95,8.827487661,379,Good
Tomato,23,89,8.31460431,308,Good
Tomato,25,95,12.69256136,303,Bad
Tomato,24,89,13.42356205,398,Good
Orange,24,95,15.50647254,459,Bad
Orange,24,95,15.25176672,382,Bad
Orange,23,95,14.67251295,213,Bad
Orange,22,95,7.133358572,358,Good
Pineapple,24,95,14.51078894,404,Bad
Orange,23,95,15.00096563,406,Bad
Orange,22,95,4.47356027,351,Good
Pineapple,25,95,10.04556771,304,Bad
Pineapple,25,95,10.95309884,310,Bad
Pineapple,23,95,12.69256136,332,Good
Pineapple,25,95,10.89052217,301,Bad
Tomato,26,88,7.358649263,410,Good
Pineapple,23,81,12.62144823,342,Good
Tomato,23,92,10.70460698,358,Good
Banana,24,95,16.93400512,244,BAD
Banana,26,95,17.30998858,310,Good
Orange,23,95,15.33623116,253,Bad
Orange,22,95,7.496378442,301,Good
Pineapple,25,95,10.04556771,307,Bad
Pineapple,23,84,12.62144823,339,Good
Tomato,25,95,13.20040797,380,Bad
Pineapple,25,95,9.700549236,306,Bad
Orange,23,95,4.870193845,341,Good
Tomato,23,92,10.46089174,362,Good
Pineapple,25,95,10.89052217,304,Bad
Tomato,25,95,14.19224347,372,Bad
Banana,24,95,13.42356205,260,BAD
Tomato,23,91,10.58215896,346,Good
Orange,21,94,8.415248038,372,Good
Pineapple,25,95,10.10404473,297,Bad
Banana,26,90,19.20950925,377,Good
Tomato,23,94,11.33503171,390,Good
Tomato,24,95,12.41021712,363,Good
Orange,22,95,4.836285621,348,Good
Pineapple,22,91,12.83585424,316,Good
Pineapple,24,95,14.19224347,300,Good
Banana,26,95,15.33623116,310,Good
Pineapple,22,95,12.98058343,342,Good
Orange,22,95,4.904260592,347,Good
Banana,25,87,13.88010234,337,Good
Pineapple,24,95,14.19224347,341,Good
Pineapple,25,95,12.55068787,447,Bad
Tomato,26,88,7.267899623,409,Good
Tomato,24,95,12.90803823,379,Bad
Tomato,23,91,8.364807255,369,Good
Banana,25,89,20.40179801,298,Good
Orange,23,95,14.83589827,402,Bad
Orange,22,95,7.267899623,305,Good
Banana,25,86,13.49869706,352,Good
Tomato,24,95,12.76402932,305,Bad
Tomato,23,95,11.66198098,348,Good
Banana,26,90,19.31496687,389,Good
Pineapple,22,95,12.55068787,343,Good
Tomato,24,89,13.80304952,413,Good
Tomato,24,95,13.12676612,298,Bad
Pineapple,22,89,12.69256136,336,Good
Orange,24,95,15.00096563,386,Bad
Orange,22,95,6.655874013,260,Good
Banana,26,95,12.90803823,303,Good
Pineapple,25,95,10.22184745,308,Bad
Tomato,25,95,15.59225501,320,Bad
Tomato,25,95,15.93986231,317,Bad
Orange,23,95,14.51078894,214,Bad
Orange,23,95,14.51078894,213,Bad
Tomato,23,87,6.364536513,289,Good
Banana,24,95,13.72638492,256,BAD
Orange,23,95,14.75399666,217,Bad
Pineapple,23,95,12.83585424,340,Good
Orange,22,95,7.044707922,355,Good
Pineapple,25,95,11.27059687,317,Bad
Tomato,23,92,9.700549236,358,Good
Banana,24,95,12.48027818,253,BAD
Orange,22,95,8.986156218,386,Good
Pineapple,25,95,11.27059687,292,Bad
Banana,24,95,18.08630257,254,BAD
Orange,23,95,14.83589827,371,Bad
Orange,24,95,16.02789778,256,Bad
Tomato,27,71,9.531728808,155,Good
Tomato,22,94,13.57421101,355,Good
Pineapple,25,95,13.72638492,405,Bad
Orange,23,95,16.74896501,247,Bad
Orange,23,95,15.67848238,450,Bad
Tomato,25,95,13.12676612,381,Bad
Banana,24,95,19.42099897,303,BAD
Tomato,23,89,7.636059339,298,Good
Pineapple,25,95,11.66198098,421,Bad
Tomato,23,92,10.16280412,358,Good
Banana,26,90,18.69070341,389,Good
Banana,24,95,18.89654455,281,BAD
Tomato,25,95,15.85228317,313,Bad
Pineapple,23,95,12.76402932,351,Good
Tomato,23,92,13.65010619,325,Good
Pineapple,24,95,14.1136139,308,Good
Tomato,25,95,15.42113219,402,Bad
Tomato,23,89,7.589280351,297,Good
Orange,23,95,4.836285621,328,Good
Tomato,26,91,6.956882353,394,Good
Pineapple,24,95,14.1136139,306,Good
Pineapple,25,95,12.62144823,410,Bad
Pineapple,23,91,12.76402932,336,Good
Banana,24,86,13.65010619,341,Good
Banana,24,95,17.21524677,260,BAD
Orange,24,95,15.25176672,392,Bad
Pineapple,25,95,11.72833871,413,Bad
Orange,22,95,7.777721829,290,Good
Pineapple,23,95,12.83585424,341,Good
Banana,24,95,17.21524677,258,BAD
Orange,23,95,15.85228317,253,Bad
Orange,23,95,6.48823229,249,Good
Orange,22,95,4.538130868,334,Good
Banana,25,86,12.48027818,339,Good
Tomato,23,91,13.05349201,330,Good
Pineapple,24,95,14.03538213,316,Good
Tomato,26,93,6.48823229,402,Good
Pineapple,22,95,13.12676612,336,Good
Pineapple,24,95,14.03538213,310,Good
Pineapple,22,95,12.98058343,341,Good
Orange,23,95,14.75399666,439,Bad
Orange,23,95,14.59144457,213,Bad
Tomato,23,92,10.70460698,354,Good
Pineapple,25,95,11.20647613,295,Bad
Tomato,26,94,6.655874013,399,Good
Orange,23,95,4.938486566,346,Good
Tomato,23,92,10.40069682,358,Good
Tomato,23,92,11.07916988,350,Good
